고유번호,성분명(국문명),이명,영문명,CAS,배합용도,EWG등급,EWG데이터등급,EWG코드,알러지,호흡,피부,발달/생식,발암,눈,주의,비고,SLS/SLES,4급암모늄,향료,색소/형광,가습기
1769,세테아레스-60미리스틸글라이콜,,Ceteareth-60 Myristyl Glycol,96081-39-9,계면활성제-유화제,C,C,CC,,,H317,,,,,,,,,,
1770,라우릴하이드록시설테인,,Lauryl Hydroxysultaine,13197-76-7,"정전기방지제, 헤어컨디셔닝제, 피부컨디셔닝제(기타), 계면활성제(세정제), 계면활성제(거품촉진제), 점도증가제(수성)",A,C,AC,,,,,,H318,,,,,,,
1771,다이-피피지-2미레스-10아디페이트,디-피피지-2미레스-10아디페이트(Di-PPG-2 Myreth-10 Adipate),Di-PPG-2 Myreth-10 Adipate,,"피부컨디셔닝제(유연제), 계면활성제(용해보조제)",,,,,,,,,,,,,,,,
1772,폴리쿼터늄-67,,Polyquaternium-67,,"정전기방지제, 피막형성제, 헤어컨디셔닝제, 헤어고정제",A,C,AC,,,,,,,,,,1,,,
1773,티이에이-코코일알라니네이트,,TEA-Cocoyl Alaninate,,"모발컨디셔닝제, 계면활성제-세정제",A,C,AC,,,,,,,,,,,,,
1774,라우레스-4,,Laureth-4,68002-97-1;5274-68-0;68439-50-9;9002-92-0,계면활성제(유화제),B,C,BC,,,,,H350,H318,,,,,,,
1775,피이지-6카프릴릭/카프릭글리세라이드,피이지-6카프릴릭/카프릭글리세라이드(PEG-6 Caprylic/Capric Glycerides),PEG-6 Caprylic/Capric Glycerides ,,"피부유연화제, 계면활성제-유화제",,,,,,,,,,,,,,,,
1776,인도멀구슬나무꽃추출물,Neem (Melia Azadirachta) Flower Extract,Melia Azadirachta Flower Extract,90063-92-6,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
1777,인도멀구슬나무잎추출물,Neem Leaf Extract;Neem (Melia Azadirachta) Leaf Extract,Melia Azadirachta Leaf Extract,90063-92-6,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
1778,홀리바질잎추출물,홀리바실잎추출물;홀리바실추출물,Ocimum Sanctum Leaf Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
1779,참산호말추출물,,Corallina Officinalis Extract,89997-92-2,"착향제
피부컨디셔닝제(기타)",A,C,AC,,,,,,,,,,,,,
1780,다이-피피지-3미리스틸에터아디페이트,"	디-피피지-3미리스틸에텔아디페이트(Di-PPG-3 Myristyl Ether Adipate)",Di-PPG-3 Myristyl Ether Adipate,,"피막형성제, 피부컨디셔닝제(유연제), 용제",,,,,,,,,,,,,,,,
1781,코코디모늄하이드록시프로필하이드롤라이즈드밀단백질,"코코디모늄하이드록시프로필하이드롤라이즈드밀단백질 
코코디모늄하이드록시프로필하이드롤라이즈드위트프로테인",Cocodimonium Hydroxypropyl Hydrolyzed Wheat Protein,130381-04-3,"정전기방지제, 헤어컨디셔닝제, 피부컨디셔닝제(기타), 계면활성제(세정제)",,,,,,,,,,,,,,,,
1782,소듐설페이트,"Disodium Sulfate;Exsiccated Sodium Sulfate;natrii sulfas (EP);Sodium Sulfate, Anhydrous;Sulfuric Acid, Disodium Salt",Sodium Sulfate,77278-73-3;7757-82-6,점증제-수용성,A,B,AB,,,H317,,,,,,,,,,
1783,마그네슘나이트레이트,,Magnesium Nitrate,10377-60-3,,A,C,AC,,,,,,,,,,,,,
1784,메틸클로로이소치아졸리논,"5-Chloro-2-Methyl-4-Isothiazolin-3-one 
4-Isothiazolin-3-one, 5-Chloro-2-Methyl-",Methylchloroisothiazolinone,26172-55-4,살균보존제,B,C,BC,,H334,H317,,,H318,,,,,,,1
1785,메틸이소치아졸리논,"3(2H)-Isothiazolone, 2-Methyl- 
Methylchloroisothiazolinone•Methylisothiazolinone Solution 
2-Methyl-3(2H)-Isothiazolone 
2-Methyl-4-Isothiazolin-3-one",Methylisothiazolinone,2682-20-4,살균보존제,C,B,CB,,,H317,,H351,H318,,,,,,,1
1786,피피지-2미리스틸에텔프로피오네이트,피피지-2미리스틸에텔프로피오네이트 (PPG-2 Myristyl Ether Propionate),PPG-2 Myristyl Ether Propionate,74775-06-7,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
1787,소듐코코일아미노산,,Sodium Cocoyl Amino Acids,,계면활성제-세정제,A,C,AC,,,,,,,,,,,,,
1788,사코신,N-Methylaminoacetic Acid;N-Methylaminoethanoic Acid;N-Methyl Glycine,Sarcosine,107-97-1,피부컨디셔닝제,A,B,AB,,,,,,,,,,,,,
1789,트라이소듐에틸렌다이아민다이석시네이트,트리소듐에칠렌디아민디석시네이트 (Trisodium Ethylenediamine Disuccinate),Trisodium Ethylenediamine Disuccinate,20846-91-7,금속이온봉쇄제,A,B,AB,,,,,,,,,,,,,
1790,포타슘아스파테이트,"DL-Aspartic Acid, Monopotassium Salt;L-Aspartic Acid, Monopotassium Salt;Aspartic Acid, Potassium Salt;Potassium L-Aspartate",Potassium Aspartate,923-09-1;1115-63-5;14007-45-5;14434-35-6,피부컨디셔닝제,A,B,AB,,,,,,,,,,,,,
1791,곤약줄기파우더,,,,,,,,,,,,,,,,,,,,
1792,오리자놀,Orizanol;gamma-Orizanol,Oryzanol,11042-64-1;12738-23-7,피부컨디셔닝제(기타),A,B,AB,,,,,,,,,,,,,
1793,엘에이씨,,,,,,,,,,,,,,,,,,,,
1794,개꽃추출물,폴스메이위드추출물(Tripleurospermum Maritima Extract),Tripleurospermum Maritimum Extract,,"헤어컨디셔닝제, 피부보호제",,,,,,,,,,,,,,,,
1795,아크릴레이트/C10-30알킬아크릴레이트크로스포리머,,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,,"유화안정제, 점증제-수용성, 점증제-비수용성",,,,,,,,,,,,,,,,
1796,산소,Molecular Oxygen,Oxygen,7782-44-7,,A,B,AB,,,,,,,,,,,,,
1797,피이지-6스테아레이트,"Hexaethylene Glycol, Monostearate;17-Hydroxy-3,6,9,12,15-Pentaoxaheptadec-1-yl Octadecanoate;Octadecanoic Acid, 17-Hydroxy-3,6,9,12,15-Pentaoxaheptadec-1-yl Ester;Polyethylene Glycol 300 Monostearate;Polyoxyethylene (6) Monostearate",PEG-6 Stearate,9004-99-3;10108-28-8,계면활성제-유화제,B,C,BC,,,,,,,,,,,,,
1798,띠뿌리추출물,모근추출물(Imperata Cylindrica Root Extract),Imperata Cylindrica Root Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
1799,선인장줄기추출물,보검선인장줄기추출물,Opuntia Ficus-Indica Stem Extract,90082-21-6,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
1800,바이오사카라이드검-4,Fucoglucoglucuronan;Glucuronogluco-6-deoxygalactan,Biosaccharide Gum-4,283602-75-5,피부컨디셔닝제,,,,,,,,,,,,,,,,
1801,사탕무뿌리추출물,비트뿌리추출물(Beta Vulgaris (Beet) Root Extract),Beta Vulgaris (Beet) Root Extract,89957-89-1;89957-90-4,피부컨디셔닝제(기타),A,B,AB,,,,,,,,유사EWG,,,,,
1802,코튼추출물,목화추출물(Gossypium Herbaceum (Cotton) Extract),Gossypium Herbaceum (Cotton) Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
1803,하이드롤라이즈드바오밥나무추출물,Adansonia Digitata Extract,Hydrolyzed Adansonia Digitata Extract,91745-12-9,"피부컨디셔닝제(유연제), 피부컨디셔닝제(기타)",A,C,AC,,,,,,,,,,,,,
1804,카렌둘라오일,카렌둘라꽃오일(Calendula Officinalis Flower Oil),Calendula Officinalis Flower Oil,70892-20-5,"착향제, 피부컨디셔닝제(기타)",A,C,AC,,,,,,,,유사EWG,,,,,
1805,참나리추출물,백합추출물 (Lilium Tigrinum Extract),Lilium Tigrinum Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,유사EWG,,,,,
1806,해당화추출물,,Rosa Rugosa Flower Extract,92347-25-6,피부컨디셔닝제(기타),A,C,AC,,,H317,,,,,,,,,,
1807,동백나무추출물,,Camellia Japonica Extract,223748-13-8,피부컨디셔닝제(기타),A,C,AC,,,,,,,,유사EWG,,,,,
1808,자주개자리잎추출물,,Medicago Sativa (Alfalfa) Leaf Extract,,피부컨디셔닝제,,,,,,,,,,,,,,,,
1809,회향씨추출물,,Foeniculum Vulgare (Fennel) Seed Extract,84625-39-8,"산화방지제, 피부컨디셔닝제(기타), 피부보호제",A,C,AC,,,H317,,H351,,,,,,,,
1810,위치하젤껍질/잎/잔가지추출물,버지니아풍년화껍질/잎/잔가지추출물,Hamamelis Virginiana (Witch Hazel) Bark/Leaf/Twig Extract,84696-19-5,"수렴제, 피부컨디셔닝제(기타)",,,,,,,,,,,,,,,,
1811,테트라하이드록시프로필에칠렌디아민,테트라하이드록시프로필에칠렌디아민 (Tetrahydroxypropyl Ethylenediamine),Tetrahydroxypropyl Ethylenediamine,102-60-3,금속이온봉쇄제,A,C,AC,,,H317,H361,H351,H318,,,,,,,
1812,적색2호,"Acid Red 27;Aka2;Amaranth;Acid Red 27 Aluminum Lake;3-히드록시-4-(4-설포나프틸아조)-2, 7-나프탈렌디설폰산의 트리나트륨염",CI 16185;Amaranth,642-59-1;915-67-3,착색제,B,C,BC,,,,,,,,,,,,1,
1813,마트리카리아꽃수,"캐모마일꽃수(Chamomilla Recutita (Matricaria) Flower Water, Anthemis Nobilis Flower Water)",Chamomilla Recutita (Matricaria) Flower Water,,착향제,A,C,AC,,,,,,,,,,,,,
1814,벤조인나무수지추출물,"Benzoin Extract;Benzoin (Styrax Benzoin) Extract;Styrax benzoin, ext. (RIFM);Styrax Extract;Styrax Resin Extract",Styrax Benzoin Resin Extract,84696-18-4;84929-79-3,향료,,,,,,H317,,,,,,,,,,
1815,팔미토일트리펩타이드-5,팔미토일트라이펩타이드-5,Palmitoyl Tripeptide-5,623172-56-5,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
1816,화분추출물,꽃가루추출물,Pollen Extract,,,A,C,AC,,,,,,,,,,,,,
1817,헬리오트로핀,"1,3-Benzodioxole-5-Carboxaldehyde;3,4-Dimethylenedioxybenzaldehyde;5-Formylbenzodioxole;Piperonal;Piperonal (RIFM);Piperonylaldehyde;Piperpmaldehyde",Heliotropine,120-57-0,향료,A,C,AC,R,,H317,,,,,,,,,,
1818,레몬향티트리오일,,Leptospermum Petersonii Oil,,착향제,A,C,AC,,,,,,,,,,,,,
1819,폴리글리세릴3메틸글루코오스다이스테아레이트,폴리글리세릴-3메칠글루코오스디스테아레이트 (Polyglyceryl-3 Methylglucose Distearate),Polyglyceryl-3 Methylglucose Distearate,,"피부컨디셔닝제(유연제), 계면활성제(유화제)",,,,,,,,,,,,,,,,
1820,슈도알테로모나스발효추출물,,Pseudoalteromonas Ferment Extract,,"보습제, 피부보습제",A,C,AC,,,,,,,,,,,,,
1821,아가베 아트로비렌스추출물,,Agave Atrovirens Extract,,보습제,,,,,,,,,,,,,,,,
1822,마그네슘카보네이트,,Magnesium Carbonate;CI 77713,546-93-0;7757-69-9,살균보존제,A,B,AB,,,,,,,,,,,,,
1823,해바라기추출물,Helianthus Annuus Extract;Sunflower Extract,Helianthus Annuus (Sunflower) Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
1824,피피지-5-세테스-10포스페이트,Polyoxyethylene Polyoxypropylene Cetyl Ether Phosphate;Polyoxyethylene (10) Polyoxypropylene (5) Cetyl Ether Phosphate;Polyoxypropylene (5) Polyoxyethylene (10) Cetyl Ether Phosphate,PPG-5-Ceteth-10 Phosphate,,계면활성제-유화제,A,C,AC,,,,,,,,,,,,,
1825,김추출물,,Porphyra Tenera Extract,,피부컨디셔닝제(보습제),A,C,AC,,,,,,,,,,,,,
1826,톳추출물,,Hizikia Fusiforme Extract;Sargassum Fusiforme Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
1827,모자반추출물,,Sargassum Fulvellum Extract,,피부컨디셔닝제(기타),B,C,BC,,,,,,,,,,,,,
1828,큰실말추출물,오카무라큰실말추출물,Cladosiphon Okamuranus Extract,53801-44-8,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
1829,피이지-8디아이소스테아레이트,피이지-8디이소스테아레이트 (PEG-8 Diisostearate),PEG-8 Diisostearate,,계면활성제(유화제),,,,,,,,,,,,,,,,
1830,피이지-20글리세릴트리아이소스테아레이트,피이지-20글리세릴트리이소스테아레이트 (PEG-20 Glyceryl Triisostearate),PEG-20 Glyceryl Triisostearate,,"피부컨디셔닝제(유연제), 계면활성제(유화제)",,,,,,,,,,,,,,,,
1831,피이지-10아이소스테아레이트,피이지-10이소스테아레이트 (PEG-10 Isostearate),PEG-10 Isostearate,56002-14-3,"계면활성제(세정제), 계면활성제(유화제)",B,C,BC,,,,,,,,,,,,,
1832,피이지-12아이소스테아레이트,피이지-12이소스테아레이트 (PEG-12 Isostearate),PEG-12 Isostearate,56002-14-3,"계면활성제(세정제), 계면활성제(유화제)",,,,,,,,,,,,,,,,
1833,콜레스테릴석시네이트,"Cholest-5-en-3-ol, Hydrogen Butanedioate;Cholesteryl Hemisuccinate;Cholesteryl Monosuccinate",Cholesteryl Succinate,1510-21-0,피부유연화제,,,,,,,,,,,,,,,,
1834,몰약오일,Myrrh absolute (RIFM);Myrrh Oil;Myrrh oil (Commiphora spp.) (RIFM),Commiphora Myrrha Oil,8016-37-3,"향료, 피부컨디셔닝제",A,C,AC,,,,,,,,유사EWG,,,,,
1835,벤조인나무검,"Benzoin;Benzoin Gum;Benzoin gum, Siam (RIFM);Benzoin resinoid (RIFM);Benzoin (RIFM);Benzoin (Styrax Benzoin) Gum;Gum Benzoin;Gum Benzoin Siam;Gum, Styrax Benzoin;Gum Sumatra;Indochina Benzoin;Resins, Benzoin;Siam Benzoin;Sumatra Benzoin",Styrax Benzoin Gum,9000-05-9;9000-72-0,"점착제, 피막형성제, 향료, 피부컨디셔닝제",,,,,,H317,,,H318,,,,,,,
1836,탄제린잎오일,만다린잎오일,Citrus Reticulata (Tangerine) Leaf Oil,8014-17-3,"착향제, 피부컨디셔닝제(기타)",,,,,,,,,,,,,,,,
1837,하이드로제네이티드유차나무씨오일,,Hydrogenated Camellia Oleifera Seed Oil,,"모발컨디셔닝제, 모발고정제, 피부컨디셔닝제, 미끄럼개선제",,,,,,,,,,,,,,,,
1838,사이클로헥실글리세린,"1,2-Propanediol, 3-(cyclohexyloxy)-",Cyclohexylglycerin,10305-41-6,보습제,,,,,,,,,H318,,,,,,,
1839,헥실글리세린,"1-O-Hexylglycerol;1,2-Propanediol, 3-(hexyloxy)-",Hexylglycerin,10305-38-1,보습제,A,C,AC,,,,,,,,,,,,,
1840,하이드롤라이즈드비즈왁스,"Beeswax, Hydrolyzed",Hydrolyzed BeesWax,,"유화안정제, 계면활성제-유화제",A,C,AC,,,,,,,,,,,,,
1841,글리세릴,글리세릴다이베헤네이트,Glyceryl Dibehenate,99880-64-5,피부컨디셔닝제(유연제),A,C,AC,,,,,,,,,,,,,
1842,사향장미오일,사향장미잎오일(Rosa Moschata Oil),Rosa Moschata Oil,,착향제,A,C,AC,,,,,,,,유사EWG,,,,,
1843,글리세릴올리베이트,,Glyceryl Olivate,,"피부컨디셔닝제(유연제), 계면활성제(유화제)",A,C,AC,,,,,,,,,,,,,
1844,락토바실러스/귤발효여과물/쌀겨추출물/콩발효추출물/녹차발효여과물/감태추출물,,,,,,,,,,,,,,,,,,,,
1845,칼메그잎추출물,,Andrographis Paniculata Leaf Extract,,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
1846,피이지-8카프릴릭/카프릭글리세라이드,피이지-8카프릴릭/카프릭글리세라이드(PEG-8 Caprylic/Capric Glycerides),PEG-8 Caprylic/Capric Glycerides,,"피부컨디셔닝제(유연제), 계면활성제(유화제)",,,,,,,,,,,,,,,,
1847,에칠아스코빌에텔,,Ethyl Ascorbyl Ether,86404-04-8,"피부컨디셔닝제, 미백개선(기능성화장품)",,,,,,,,,,,,,,,,
1848,피이지-15글리셀릴아이소스테아레이트,피이지-15글리세릴이소스테아레이트(PEG-15 Glyceryl Isostearate),PEG-15 Glyceryl Isostearate,68958-58-7,계면활성제(유화제),,,,,,H317,H361,H351,H318,,,,,,,
1849,소듐글루타메이트,"Glutamic Acid, Monosodium Salt;Monosodium glutamate;Monosodium L-Glutamate;Monosodium L-Glutamate Monohydrate",Sodium Glutamate,142-47-2;6106-04-3;16177-21-2;32221-81-1,"향료, 모발컨디셔닝제, 피부컨디셔닝제",A,B,AB,,,,,,,,,,,,,
1850,레반,Gum Levan,Levan,9013-95-0,"피막형성제, 피부보호제, 점도증가제(수성)",A,C,AC,,,,,,,,,,,,,
1851,필린핀오렌지껍질오일,만다린껍질오일(Citrus Nobilis (Mandarin Orange) Peel Oil),Citrus Nobilis (Mandarin Orange) Peel Oil ,8008-31-9,"착향제, 피부컨디셔닝제(기타)",A,C,AC,,,H317,,,,,,,,,,
1852,소듐카프로일/라우로일락틸레이트,,Sodium Caproyl/Lauroyl Lactylate,1312021-45-6,"계면활성제(세정제), 계면활성제(유화제)",,,,,,H317,,,,,,,,,,
1853,말지방,호오스팻(Horse Fat),Horse Fat,,피부컨디셔닝제(수분차단제),A,C,AC,,,,,,,,,,,,,
1854,모나스커스추출물,붉은누룩곰팡이추출물 (Monascus Extract),Monascus Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
1855,갈대추출물,,Phragmites Communis Extract,84604-02-4,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
1856,결명자추출물,"결명자추출물(Cassia Obtusifolia Seed Extract,Cassia Tora Seed Extract)",Cassia Tora Seed Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
1857,포타슘올리베이트,,Potassium Olivate,68154-77-8,"계면활성제(세정제), 계면활성제(유화제)",A,C,AC,,,,,,,,,,,,,
1858,벤질살리실레이트,"Benzoic Acid, 2-Hydroxy-, Phenylmethyl Ester;Benzyl 2-Hydroxybenzoate;Benzyl o-Hydroxybenzoate;Benzyl salicylate (RIFM);2-Hydroxybenzoic Acid, Benzyl Ester;Phenylmethyl 2-Hydroxybenzoate;Salicylic Acid, Benzyl Ester",Benzyl Salicylate,118-58-1,"향료, 변색방지제",C,C,CC,R,,H317,,,,,,,,,,
1859,향나무목부추출물,향나무추출물 (Juniperus Chinensis Xylem Extract),Juniperus Chinensis Xylem Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
1860,폴리글리세릴-4라우레이트/석시네이트,,Polyglyceryl-4 Laurate/Succinate,,계면활성제(유화제),,,,,,,,,,,,,,,,
1861,락토바실러스/우유발효여과물,,Lactobacillus/Milk Ferment Filtrate,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,유사EWG,,,,,
1862,리솔레시틴,라이소레시틴 (Lysolecithin),Lysolecithin,9008-30-4,계면활성제(유화제),A,B,AB,,,,,,,,,,,,,
1863,아몬드오일,"Almond Oil;Almond Oil, Sweet;Almond oil, sweet (Prunis species) (RIFM)",Prunus Amygdalus Dulcis (Sweet Almond) Oil,8007-69-0;90320-37-9,"향료, 피부컨디셔닝제, 수분증발차단제",A,C,AC,,,,,,,,,,,,,
1864,승마추출물,눈빛승마추출물,Cimicifuga Dahurica Root Extract,84776-26-1,산화방지제,A,C,AC,,,,,,,,,,,,,
1865,로즈힙씨오일,,Rosa Canina Seed Oil,,,A,C,AC,,,,,,,,,,,,,
1866,트라이카프릴릴시트레이트,트리카프릴릴시트레이트 (Tricaprylyl Citrate),Tricaprylyl Citrate,,피부컨디셔닝제(수분차단제),A,C,AC,,,,,,,,,,,,,
1867,린씨드애씨드,"Acids, Linseed;Fatty Acids, Linseed Oil;Linseed Oil Fatty Acid;Linum Usitatissimum (Linseed) Acid",Linseed Acid,68424-45-3,계면활성제(세정제),,,,,,H317,,,,,,,,,,
1868,하이드롤라이즈드스위트아몬드프로테인,하이드롤라이즈드스위트아몬드프로테인(Hydrolyzed Sweet Almond Protein),Hydrolyzed Sweet Almond Protein,100209-19-6,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",,,,,,,,,,,,,,,,
1869,소듐포스페이트,"Monobasic Sodium Phosphate;Monobasic Sodium Phosphate (Monohydrate);Monosodium Phosphate;natrii dihydrogenophosphas (EP);Phosphoric Acid, Monosodium Salt;Sodium Biphosphate;Sodium Dihydrogen Phosphate;Sodium Phosphate, Monobasic",Sodium Phosphate,7558-80-7;7632-05-5,pH 완충제,A,B,AB,,,,,,H318,,,,,,,
1870,에스신,Aescin,Escin,6805-41-0,,A,C,AC,,,,,,,,,,,,,
1871,루스코제닌,,Ruscogenin,472-11-7,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
1872,라즈베리즙,,Rubus Idaeus (Raspberry) Juice,8027-46-1,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
1873,지치뿌리추출물,자근추출물 (Lithospermum Erythrorhizon Root Extract),Lithospermum Erythrorhizon Root Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
1874,호박씨오일,당호박씨오일,Cucurbita Pepo (Pumpkin) Seed Oil,8016-49-7,피부컨디셔닝제(수분차단제),A,C,AC,,,,,,,,,,,,,
1875,폴리솔베이트85,폴리소르베이트85 (Polysorbate 85),Polysorbate 85,9005-70-3,"착향제, 계면활성제(유화제)",B,C,BC,,,,,,,,유사EWG,,,,,
1876,파스향나무잎추출물,윈터그린잎추출물(Gaultheria Procumbens (Wintergreen) Leaf Extract),Gaultheria Procumbens (Wintergreen) Leaf Extract,90045-28-6,"착향제, 피부컨디셔닝제(기타)",A,C,AC,,,,,,,,,,,,,
1877,소듐이세치오네이트,소듐이세티오네이트,Sodium Isethionate,1562-00-1,,A,C,AC,,,,,,,,,,,,,
1878,폴리다틴,,Polydatin,65914-17-2,산화방지제,,,,,,,,,H318,,,,,,,
1879,레스베라트롤,,Resveratrol,501-36-0,"산화방지제, 피부보호제",A,B,AB,,,H317,,,H318,,,,,,,
1880,제충국꽃추출물,,Tanacetum Cinerariifolium (Pyrethrum) Flower Extract,,착향제,,,,,,,,,,,,,,,,
1881,레몬유칼립투스오일,,Eucalyptus Citriodora Oil,,착향제,A,C,AC,,,,,,,,유사EWG,,,,,
1882,알테로모나스발효추출물,,Alteromonas Ferment Extract,267233-41-0,피부컨디셔닝제,A,C,AC,,,,,,,,,,,,,
1883,브라질넛씨오일,Brazil (Bertholetta Excelsa) Nut Oil,Bertholletia Excelsa Seed Oil,356065-50-4,피부유연화제,A,C,AC,,,,,,,,유사EWG,,,,,
1884,알테로모나스발효여과물,,Alteromonas Ferment Filtrate,,피부컨디셔닝제(보습제),,,,,,,,,,,,,,,,
1885,퍼플루오로노닐에칠스테아릴다이메티콘,,Perfluorononylethyl Stearyl Dimethicone,,"	피막형성제, 피부컨디셔닝제(수분차단제)",,,,,,,,,,,,,,,,
1886,디펜타에리스리틸헥사C5-9애씨드에스터,디펜타에리스리틸헥사C5-9애씨드에스터(Dipentaerythrityl Hexa C5-9 Acid Esters),Dipentaerythrityl Hexa C5-9 Acid Esters,67762-52-1,"헤어컨디셔닝제, 가소제, 피부컨디셔닝제(기타)",A,C,AC,,,,,,,,,,,,,
1887,멜라닌,Cuttlefish Ink Powder,Melanin,8049-97-6;77465-45-3,피부컨디셔닝제,A,B,AB,,,,,,,,,,,,,
